job,website,company,salary
高级数据分析经理（北京）,http://company.zhaopin.com/CZ755644850.htm,海尔集团公司,20000-30000
互联网业务部门_数据分析,http://company.zhaopin.com/CC120747254.htm,北京思特奇信息技术股份有限公司,8000-10000
大数据,http://company.zhaopin.com/CC219700934.htm,大连中屹人力资源开发有限公司,14000-21000
推荐算法工程师,http://company.zhaopin.com/CZ264657880.htm,北京达佳互联信息技术有限公司,15000-30000
数据分析师,http://company.zhaopin.com/CZ895517740.htm,广州花生日记网络科技有限公司,15000-30000
生物信息工程师,http://company.zhaopin.com/CZ269712780.htm,广州市达瑞生物技术股份有限公司,6000-10000
数据分析师,http://company.zhaopin.com/CC562871224.htm,广州星域信息科技有限公司,10001-15000
高级数据分析师,http://company.zhaopin.com/CC562871224.htm,广州星域信息科技有限公司,10000-20000
数据分析,http://special.zhaopin.com/pagepublish/14322069/index.html,北京联合永道软件股份有限公司,8001-10000
数据分析师,http://company.zhaopin.com/CZ316972830.htm,广东爱依服商贸有限公司,8000-15000
数据分析,http://company.zhaopin.com/CC522560232.htm,新余高新区金泰亚盛咨询有限公司珠海办事处,8001-10000
自然语言处理工程师,http://company.zhaopin.com/CZ647152320.htm,三盟科技股份有限公司,15000-25000
银行SAS/R/PYTHON数据分析挖掘建模岗,http://company.zhaopin.com/P6/CC1205/6455/CC120564559.htm,深圳市长亮科技股份有限公司,10000-20000
高级数据分析经理（北京）,http://company.zhaopin.com/CZ755644850.htm,海尔集团公司,20000-30000
互联网业务部门_数据分析,http://company.zhaopin.com/CC120747254.htm,北京思特奇信息技术股份有限公司,8000-10000
大数据,http://company.zhaopin.com/CC219700934.htm,大连中屹人力资源开发有限公司,14000-21000
推荐算法工程师,http://company.zhaopin.com/CZ264657880.htm,北京达佳互联信息技术有限公司,15000-30000
数据分析师,http://company.zhaopin.com/CZ895517740.htm,广州花生日记网络科技有限公司,15000-30000
生物信息工程师,http://company.zhaopin.com/CZ269712780.htm,广州市达瑞生物技术股份有限公司,6000-10000
数据分析师,http://company.zhaopin.com/CC562871224.htm,广州星域信息科技有限公司,10001-15000
高级数据分析师,http://company.zhaopin.com/CC562871224.htm,广州星域信息科技有限公司,10000-20000
数据分析,http://special.zhaopin.com/pagepublish/14322069/index.html,北京联合永道软件股份有限公司,8001-10000
数据分析师,http://company.zhaopin.com/CZ316972830.htm,广东爱依服商贸有限公司,8000-15000
数据分析,http://company.zhaopin.com/CC522560232.htm,新余高新区金泰亚盛咨询有限公司珠海办事处,8001-10000
自然语言处理工程师,http://company.zhaopin.com/CZ647152320.htm,三盟科技股份有限公司,15000-25000
银行SAS/R/PYTHON数据分析挖掘建模岗,http://company.zhaopin.com/P6/CC1205/6455/CC120564559.htm,深圳市长亮科技股份有限公司,10000-20000
数据分析师,http://company.zhaopin.com/CZ895517740.htm,广州花生日记网络科技有限公司,15000-30000
生物信息工程师,http://company.zhaopin.com/CZ269712780.htm,广州市达瑞生物技术股份有限公司,6000-10000
数据分析师,http://company.zhaopin.com/CC562871224.htm,广州星域信息科技有限公司,10001-15000
高级数据分析师,http://company.zhaopin.com/CC562871224.htm,广州星域信息科技有限公司,10000-20000
数据分析,http://special.zhaopin.com/pagepublish/14322069/index.html,北京联合永道软件股份有限公司,8001-10000
数据分析师,http://company.zhaopin.com/CZ316972830.htm,广东爱依服商贸有限公司,8000-15000
数据分析,http://company.zhaopin.com/CC522560232.htm,新余高新区金泰亚盛咨询有限公司珠海办事处,8001-10000
自然语言处理工程师,http://company.zhaopin.com/CZ647152320.htm,三盟科技股份有限公司,15000-25000
银行SAS/R/PYTHON数据分析挖掘建模岗,http://company.zhaopin.com/P6/CC1205/6455/CC120564559.htm,深圳市长亮科技股份有限公司,10000-20000
数据分析师,http://company.zhaopin.com/CZ895517740.htm,广州花生日记网络科技有限公司,15000-30000
生物信息工程师,http://company.zhaopin.com/CZ269712780.htm,广州市达瑞生物技术股份有限公司,6000-10000
数据分析师,http://company.zhaopin.com/CC562871224.htm,广州星域信息科技有限公司,10001-15000
高级数据分析师,http://company.zhaopin.com/CC562871224.htm,广州星域信息科技有限公司,10000-20000
数据分析,http://special.zhaopin.com/pagepublish/14322069/index.html,北京联合永道软件股份有限公司,8001-10000
数据分析师,http://company.zhaopin.com/CZ316972830.htm,广东爱依服商贸有限公司,8000-15000
数据分析,http://company.zhaopin.com/CC522560232.htm,新余高新区金泰亚盛咨询有限公司珠海办事处,8001-10000
自然语言处理工程师,http://company.zhaopin.com/CZ647152320.htm,三盟科技股份有限公司,15000-25000
银行SAS/R/PYTHON数据分析挖掘建模岗,http://company.zhaopin.com/P6/CC1205/6455/CC120564559.htm,深圳市长亮科技股份有限公司,10000-20000
数据分析师,http://company.zhaopin.com/CZ895517740.htm,广州花生日记网络科技有限公司,15000-30000
生物信息工程师,http://company.zhaopin.com/CZ269712780.htm,广州市达瑞生物技术股份有限公司,6000-10000
数据分析师,http://company.zhaopin.com/CC562871224.htm,广州星域信息科技有限公司,10001-15000
高级数据分析师,http://company.zhaopin.com/CC562871224.htm,广州星域信息科技有限公司,10000-20000
数据分析,http://special.zhaopin.com/pagepublish/14322069/index.html,北京联合永道软件股份有限公司,8001-10000
数据分析师,http://company.zhaopin.com/CZ316972830.htm,广东爱依服商贸有限公司,8000-15000
数据分析,http://company.zhaopin.com/CC522560232.htm,新余高新区金泰亚盛咨询有限公司珠海办事处,8001-10000
自然语言处理工程师,http://company.zhaopin.com/CZ647152320.htm,三盟科技股份有限公司,15000-25000
银行SAS/R/PYTHON数据分析挖掘建模岗,http://company.zhaopin.com/P6/CC1205/6455/CC120564559.htm,深圳市长亮科技股份有限公司,10000-20000
数据分析师,http://company.zhaopin.com/CZ895517740.htm,广州花生日记网络科技有限公司,15000-30000
生物信息工程师,http://company.zhaopin.com/CZ269712780.htm,广州市达瑞生物技术股份有限公司,6000-10000
数据分析师,http://company.zhaopin.com/CC562871224.htm,广州星域信息科技有限公司,10001-15000
高级数据分析师,http://company.zhaopin.com/CC562871224.htm,广州星域信息科技有限公司,10000-20000
数据分析,http://special.zhaopin.com/pagepublish/14322069/index.html,北京联合永道软件股份有限公司,8001-10000
数据分析师,http://company.zhaopin.com/CZ316972830.htm,广东爱依服商贸有限公司,8000-15000
